id,industry,location,funding_rounds,total_funding_inr,team_size,competitor_density,founder_experience_years,has_patent,success
0,CleanEnergy,Kerala - Pathanamthitta,2,21292184.413804412,42,5,19,1,1
1,DeepTech,Mizoram - Serchhip,1,68151848.5978016,9,20,17,0,1
2,Automotive,Arunachal Pradesh - Changlang,4,36419428.39998314,34,22,21,0,0
3,AgriTech,Haryana - Faridabad,5,253526412.94423616,46,12,15,0,0
4,Gaming,Gujarat - Patan,5,311216207.682175,29,4,14,1,1
5,D2C Brands,Tamil Nadu - Tiruchirappalli,3,190608420.2052309,4,17,4,0,1
6,CleanEnergy,Uttar Pradesh - Kushinagar (Padrauna),2,108054987.36495918,15,16,9,1,0
7,Entertainment,Jharkhand - Jamtara,2,107919393.37129132,20,10,9,0,1
8,AgriTech,Karnataka - Kalaburagi (Gulbarga),1,40556893.16829245,7,3,12,1,1
9,AgriTech,Uttar Pradesh - Mirzapur,1,36253013.83365668,37,22,17,0,0
10,D2C Brands,Uttar Pradesh - Shravasti,1,15301608.904289195,21,1,9,0,1
11,Healthcare,Andhra Pradesh - Chittoor,3,135454597.3319613,2,6,15,0,1
12,Gaming,Haryana - Kurukshetra,4,41308955.27903888,11,3,1,1,0
13,E-commerce,Gujarat - Kachchh,1,40114787.00395378,14,19,17,0,0
14,D2C Brands,Chhattisgarh - Bastar,1,59817556.908507414,13,7,3,0,0
15,SaaS,Maharashtra - Jalgaon,1,38214724.10193192,12,9,18,1,1
16,Logistics,Telangana - Karimnagar,3,129363670.66067886,37,22,24,0,1
17,AI/ML,Uttar Pradesh - Lucknow,5,340827208.1605791,18,12,4,1,1
18,SaaS,Karnataka - Raichur,4,213974697.3268375,48,14,16,0,1
19,D2C Brands,Meghalaya - East Jaintia Hills,5,72848703.1158653,54,1,1,0,0
20,FinTech,Chhattisgarh - Bilaspur,2,91440565.38150923,30,13,14,1,1
21,Logistics,Jammu and Kashmir - Kupwara,2,64686305.87179071,4,21,22,0,1
22,Logistics,Odisha - Mayurbhanj,1,20512441.455002047,30,2,23,0,1
23,Travel & Tourism,Rajasthan - Kota,5,267988255.22048387,11,3,5,0,1
24,Food & Beverage,Punjab - Mansa,3,101963247.58254468,54,11,22,0,1
25,PropTech,Arunachal Pradesh - Namsai,4,250192078.85955116,47,5,17,0,0
26,Automotive,Gujarat - Gandhinagar,5,244937795.3720882,20,2,13,0,1
27,Automotive,West Bengal - Burdwan (Bardhaman),5,64096232.165160395,54,14,11,0,0
28,Entertainment,West Bengal - Uttar Dinajpur (North Dinajpur),4,125104783.80464835,5,13,5,0,0
29,Logistics,Maharashtra - Gondia,5,126191099.16819811,58,14,21,0,1
30,DeepTech,Nagaland - Phek,5,81239712.73745918,47,3,19,0,1
31,E-commerce,Meghalaya - South West Khasi Hills,4,260065853.14833236,39,8,19,0,0
32,EdTech,Uttar Pradesh - Siddharth Nagar,3,100168958.4285112,13,13,17,0,1
33,Entertainment,Punjab - Sangrur,4,203977654.24890906,32,22,2,1,1
34,CleanEnergy,Rajasthan - Karauli,1,71150908.9770608,59,12,5,0,0
35,D2C Brands,West Bengal - South 24 Parganas,1,45725495.80125604,3,18,3,1,0
36,Web3,Uttar Pradesh - Moradabad,1,24356041.455228258,50,18,18,0,0
37,CleanEnergy,Rajasthan - Rajsamand,1,64301360.12636496,2,17,16,0,1
38,Fashion,Telangana - Kamareddy,2,75363222.36055952,18,7,10,0,0
39,Healthcare,Rajasthan - Hanumangarh,3,141863221.33511326,26,22,13,0,0
40,Manufacturing,Arunachal Pradesh - Longding,2,145312482.63229904,6,13,10,0,1
41,Fashion,Uttar Pradesh - Sambhal (Bhim Nagar),5,208478194.93860304,49,13,18,0,1
42,Web3,Punjab - Ferozepur,5,150510331.63975534,15,6,16,0,1
43,D2C Brands,Uttarakhand - Nainital,4,238218073.8536002,53,21,3,0,0
44,SaaS,Meghalaya - North Garo Hills,1,15012531.833878595,11,19,11,0,0
45,DeepTech,Odisha - Khordha,4,294117267.85216343,22,24,3,0,1
46,Automotive,Arunachal Pradesh - Siang,5,368329893.96944195,26,19,11,0,0
47,CleanEnergy,Himachal Pradesh - Una,1,48455550.80811661,36,21,16,0,1
48,Logistics,Assam - Kokrajhar,3,49716563.67294623,4,24,14,0,0
49,Gaming,Arunachal Pradesh - Lower Siang,5,194534154.87502104,19,16,6,0,0
50,Automotive,Karnataka - Kolar,4,146991510.18395317,57,3,20,1,1
51,E-commerce,Madhya Pradesh - Chhatarpur,4,109494098.33939005,56,14,0,0,0
52,Manufacturing,Haryana - Faridabad,5,90662546.03574418,51,21,4,0,0
53,Travel & Tourism,Punjab - Ludhiana,2,49554334.85344118,37,6,11,1,0
54,Healthcare,Andhra Pradesh - West Godavari,3,139993912.16805777,40,17,6,0,0
55,Fashion,Uttar Pradesh - Bareilly,5,282140035.6422158,34,16,21,0,1
56,Gaming,Mizoram - Lawngtlai,5,392348567.02848846,49,2,14,0,1
57,Healthcare,Himachal Pradesh - Kangra,4,84727515.9707407,18,23,4,0,1
58,SaaS,Chhattisgarh - Surguja,1,20301217.872578498,41,9,23,0,1
59,AI/ML,Madhya Pradesh - Jabalpur,1,13777500.922760967,7,13,8,0,1
60,Food & Beverage,Haryana - Mewat,1,75424511.6587437,35,14,0,1,0
61,Healthcare,Jharkhand - West Singhbhum,4,134554728.78230458,27,20,5,0,0
62,Fashion,Karnataka - Koppal,1,74298559.94211385,43,21,15,0,0
63,Logistics,Maharashtra - Akola,5,358538310.1987306,32,12,14,0,0
64,SaaS,Bihar - Supaul,2,16596355.948352605,50,20,1,1,0
65,Food & Beverage,Uttar Pradesh - Amroha (J.P. Nagar),2,51965674.11419824,52,11,12,1,0
66,Healthcare,Haryana - Ambala,2,55378434.66696013,29,19,23,0,0
67,Manufacturing,Meghalaya - North Garo Hills,1,25801029.277380217,37,10,4,0,0
68,PropTech,Andhra Pradesh - Srikakulam,2,73800371.92854457,14,18,15,0,0
69,Automotive,Tamil Nadu - Nilgiris,1,42448088.98643722,22,3,0,1,0
70,Gaming,Jharkhand - East Singhbhum,5,309324784.39609414,27,16,20,0,1
